Designator,Mid X,Mid Y,Rotation,Layer
C1,67.0561,-116.2456,270.0,top
C2,94.234,-90.3855,270.0,top
C3,99.568,-90.3855,270.0,top
C4,118.872,-98.7925,90.0,top
C5,127.762,-90.9705,90.0,top
C6,71.12,-92.4775,270.0,top
C7,133.096,-90.9705,90.0,top
C9,96.52,-107.4805,90.0,top
D1,74.168,-100.65,180.0,top
IC1,101.9249,-107.0725,90.0,top
IC2,110.478,-92.956,0.0,top
J1,76.216,-117.348,90.0,top
J2,102.6,-117.348,90.0,top
J3,139.954,-102.402,270.0,top
J4,48.827,-103.888,270.0,top
L1,120.086,-91.44,0.0,top
Q1,80.772,-100.584,180.0,top
Q2,86.97,-93.204,180.0,top
R1,63.246,-101.574,270.0,top
R10,80.772,-107.67,90.0,top
R11,73.66,-107.67,270.0,top
R13,76.708,-92.43,270.0,top
R15,111.76,-107.11,270.0,top
R17,116.84,-107.162,270.0,top
R18,108.458,-113.564,90.0,top
R19,96.52,-113.564,90.0,top
R2,68.326,-101.5261,90.0,top
R20,91.44,-113.564,90.0,top
R21,112.776,-113.564,90.0,top
R3,58.166,-101.626,270.0,top
R4,59.944,-92.966,270.0,top
R5,131.572,-100.84,90.0,top
R6,104.648,-90.45,270.0,top
R7,104.648,-95.986,270.0,top
R8,124.46,-98.78,90.0,top
R9,113.538,-98.78,270.0,top
U1,58.9281,-112.268,0.0,top
